,sub,run,cat_cond,trial_type,picture,old,response_old,target_pos,response_pos,minimum_error,dot_resp_loc,cat_corr,TN_corr,TN_rt,feedback_type,trial,SP_peak_response,FB_peak_response,preStim_bl,anticipation
2291,034,4,2,csm,19a.png,1,1,180,307,127,181,1,1,258,neu_feedback_onset,10,9.409348048268804,5.967371857397215,4.46168,
2292,034,4,2,csm,20a.png,1,0,252,NaN,NaN,251,1,1,325,neu_feedback_onset,11,,,4.58496,
2293,034,4,2,csp,13b.png,1,0,108,NaN,NaN,108,1,1,243,pos_feedback_onset,12,3.094129138503791,3.618913695308778,4.596769999999999,
2294,034,4,2,csm,44a.png,1,1,276,234,-42,NaN,0,1,294,neu_feedback_onset,13,,2.3630849489188477,4.711435,
2295,034,4,2,csm,12a.png,1,1,20,235,-145,20,1,1,214,neu_feedback_onset,14,,,4.654615,
2296,034,5,2,csm,58a.png,1,1,96,340,-116,NaN,0,1,440,neu_feedback_onset,1,,1.2244816490582588,4.674259999999999,
2297,034,5,2,csp,29b.png,1,1,292,284,-8,292,1,1,290,pos_feedback_onset,2,4.63981124498827,,4.80623,
2298,034,5,2,csm,25a.png,1,1,340,173,-167,340,1,1,284,neu_feedback_onset,3,,,4.720755,0.21218000000000092
2299,034,5,2,csp,11b.png,1,1,256,174,-82,255,1,1,382,pos_feedback_onset,4,,,4.84049,0.18373499999999954
2300,034,5,2,csm,65a.png,1,0,212,NaN,NaN,210,1,1,225,neu_feedback_onset,5,,,4.8463600000000016,
2301,034,5,2,csm,21a.png,1,1,36,332,-64,36,1,1,343,neu_feedback_onset,6,,,4.660449999999999,
2302,034,5,2,csp,63b.png,1,0,128,NaN,NaN,128,1,0,272,neg_feedback_onset,7,,,4.363705000000001,
2303,034,5,2,csm,15a.png,1,1,16,293,-83,16,1,1,300,neu_feedback_onset,8,3.7761482700603226,4.075770903981584,4.769675,
2304,034,5,2,csp,3b.png,1,1,332,240,-92,330,1,1,291,pos_feedback_onset,9,7.694607995215373,,4.464295,
2305,034,5,2,csm,37a.png,1,1,172,135,-37,173,1,1,359,neu_feedback_onset,10,,,4.79206,
2306,034,5,2,csp,16b.png,1,1,8,253,-115,7,1,0,264,neg_feedback_onset,11,,,4.405665,-0.09856499999999979
2307,034,5,2,csp,66b.png,1,1,100,243,143,100,1,1,343,pos_feedback_onset,12,1.948657923439137,4.953850515016848,4.698874999999999,-0.09761999999999826
2308,034,5,2,csp,55b.png,1,1,56,28,-28,57,1,1,285,pos_feedback_onset,13,9.127856735237392,1.7640010536857094,4.599874999999999,
2309,034,5,2,csm,5a.png,1,1,304,307,3,304,1,1,325,neu_feedback_onset,14,4.530430699939323,0.34617144017575757,4.813560000000001,
2310,034,6,2,csm,64a.png,1,1,148,169,21,NaN,0,0,545,neu_feedback_onset,1,,,4.811235,
2311,034,6,2,csp,2b.png,1,1,268,316,48,268,1,1,334,pos_feedback_onset,2,3.008865738372532,3.6735557117635635,4.594090000000001,0.2173949999999989
2312,034,6,2,csm,35a.png,1,0,220,NaN,NaN,220,1,1,226,neu_feedback_onset,3,,,4.49161,
2313,034,6,2,csm,59a.png,1,1,184,218,34,183,1,1,308,neu_feedback_onset,4,,,4.5654699999999995,
2314,034,6,2,csp,52b.png,1,1,260,244,-16,259,1,1,277,pos_feedback_onset,5,0.3481497475760149,2.2354947083808256,4.86285,
2315,034,6,2,csm,8a.png,1,1,104,48,-56,104,1,1,251,neu_feedback_onset,6,4.979599924533952,,4.743855,-0.07980500000000035
2316,034,6,2,csp,28b.png,1,1,84,298,-146,84,1,1,265,pos_feedback_onset,7,0.07953825727051693,2.0500442749274255,4.752429999999999,
2317,034,6,2,csm,60a.png,1,0,160,NaN,NaN,159,1,1,409,neu_feedback_onset,8,7.488426666196174,,4.534129999999999,0.03885999999999967
2318,034,6,2,csp,42b.png,1,1,348,340,-8,348,1,1,389,pos_feedback_onset,9,4.00663097535124,,4.5996250000000005,
2319,034,6,2,csp,21b.png,1,1,208,324,116,207,1,1,260,pos_feedback_onset,10,3.2015028714242417,,4.80946,
2320,034,6,2,csm,40a.png,1,1,64,173,109,65,1,1,254,neu_feedback_onset,11,,,4.698849999999999,-0.00153499999999962
2321,034,6,2,csm,50a.png,1,1,336,141,165,337,1,1,276,neu_feedback_onset,12,2.8897460986630796,,4.869805,-0.201954999999999
2322,034,6,2,csp,59b.png,1,1,300,322,22,300,1,1,222,pos_feedback_onset,13,3.448687387666376,4.438452763662748,4.859965,-0.05358000000000018
2323,034,6,2,csp,17b.png,1,1,60,256,-164,63,1,1,374,pos_feedback_onset,14,6.73523542960965,3.238087718285967,4.81746,
2324,035,1,2,csm,31a.png,1,1,284,311,27,NaN,0,1,547,neu_feedback_onset,1,0.7478473472625111,4.352972664515365,5.283650000000001,
2325,035,1,2,csp,58b.png,1,1,196,223,27,196,1,1,393,pos_feedback_onset,2,9.34379127013829,1.6189161233730558,4.849905,0.14981500000000114
2326,035,1,2,csm,4a.png,1,0,60,NaN,NaN,63,1,1,373,neu_feedback_onset,3,2.0310318590670744,1.0607504858477648,4.974565,-0.96516
2327,035,1,2,csp,37b.png,1,1,232,122,-110,230,1,1,301,pos_feedback_onset,4,8.66078536638587,1.0779357846245232,4.628794999999999,-0.41493499999999983
2328,035,1,2,csm,57a.png,1,1,248,310,62,248,1,1,316,neu_feedback_onset,5,4.366232768304942,0.4408641366142364,4.789140000000001,-0.02169000000000043
2329,035,1,2,csm,54a.png,1,0,64,NaN,NaN,68,1,1,498,neu_feedback_onset,6,10.487746914618496,16.205477898340238,4.607615000000001,-0.28295000000000137
2330,035,1,2,csp,20b.png,1,1,220,224,4,219,1,1,360,pos_feedback_onset,7,6.76285663861307,16.595179813184252,4.617945,0.3748850000000008
2331,035,1,2,csm,37a.png,1,1,116,130,14,112,1,1,888,neu_feedback_onset,8,13.65451477656202,8.464598957671297,3.9116,0.2754999999999983
2332,035,1,2,csp,30b.png,1,1,92,147,55,94,1,1,319,pos_feedback_onset,9,12.641727893116487,13.05647223101228,3.74838,0.4389450000000008
2333,035,1,2,csm,40a.png,1,1,348,308,-40,348,1,1,531,neu_feedback_onset,10,30.54958518385516,13.66176982583567,3.7872200000000005,-0.6276949999999992
2334,035,1,2,csp,52b.png,1,1,44,55,11,45,1,1,298,pos_feedback_onset,11,3.1759573526156695,5.841448759915202,4.3369599999999995,-0.8257300000000005
2335,035,1,2,csp,15b.png,1,1,120,142,22,124,1,1,326,pos_feedback_onset,12,26.433462619242853,8.21910564491996,3.6778949999999986,-0.7365050000000006
2336,035,1,2,csm,46a.png,1,1,160,314,154,161,1,1,759,neu_feedback_onset,13,29.48958544667612,8.754034739873802,3.5488800000000005,-0.2251499999999993
2337,035,1,2,csp,31b.png,1,1,212,215,3,206,1,1,537,neg_feedback_onset,14,33.07117865621563,1.5597112415501835,3.414015,-0.42038500000000134
2338,035,2,2,csp,10b.png,1,1,132,85,-47,NaN,0,1,372,neg_feedback_onset,1,2.3003658204044974,4.397559593675878,5.64758,
2339,035,2,2,csm,32a.png,1,1,272,315,43,269,1,1,573,neu_feedback_onset,2,0.33839454931047225,1.4350417538175961,5.49802,0.5323199999999995
2340,035,2,2,csm,45a.png,1,0,332,NaN,NaN,334,1,1,384,neu_feedback_onset,3,0.1621554941862781,1.5648692847337418,5.02604,-0.39735999999999905
2341,035,2,2,csp,48b.png,1,1,192,30,-162,199,1,1,388,pos_feedback_onset,4,0.3193828835527188,1.3951639136878204,5.413564999999999,0.07393999999999945
